Sequence ID,Mean,SD
0,-5.538951471045207,7.650609611326661
1,-5.55697673498084,5.07581066453828
2,-6.749954751797725,4.889626795757998
3,-4.561395313066514,3.944289279004518
4,-3.2934287306535865,9.196666198148938
5,-9.545877598205244,4.4238227310708735
6,-3.772663967251667,4.8461412430985735
7,-6.933522313972121,3.3799663997389056
8,-3.9387937344103734,4.855043628640282
9,-5.211652008568369,5.829095074247795
10,-5.522474023746984,4.827753360660935
11,-4.60490854258085,3.664450808558402
12,-2.920252005629527,2.988434619270964
13,-1.6645689917188464,3.4473415152625075
14,-1.47112659439236,5.271684652251245
15,0.21837449096011316,7.35327374556952
16,-3.395520407133647,7.7390480400421175
17,-3.448625687117459,9.309241844428284
18,-4.238936966918716,10.403776874798764
19,0.4964882993075968,9.683738064770365
20,-6.49134649677968,10.954181463273349
21,0.33312934353767126,7.386904974529833
22,-2.688110870672851,11.346483029590397
23,-2.6585746804687997,5.641270371295559
24,-1.501433688018884,7.62438102071825
25,-2.608981960084209,10.127138161617571
26,-5.703792072908959,5.398429137079439
27,-1.8772875973807261,5.658610651233159
28,-2.6809178329691723,8.090398434994507
29,-2.658614254120009,2.6705531226826955
30,-4.465289490309577,8.468331108493471
31,-4.57737588040871,4.063367692393258
32,-0.5909852003617927,3.4764043784900878
33,-1.8936247191524709,2.333074863503062
34,0.09575407136186558,5.445264218812099
35,-3.397335027992893,5.220931683692009
36,-5.311581693180003,4.975018238107227
37,-3.08021498513855,2.889471776626193
38,-4.302902387828331,2.75865394587619
39,-10.104574798982163,5.677801294752997
40,1.0897833749388046,11.07403531726169
41,-10.338518048488199,5.586147481296494
42,-3.860763723008119,6.1038492622905505
43,-1.3032612153446155,5.7193401916821465
44,2.38012551755852,9.227346670136223
45,-5.925380239782214,10.108813109815625
46,-5.726125637143993,11.571005714585926
47,-4.137936024163666,14.576796191842414
48,-4.5115699652523364,5.635817206742471
49,-1.982798313855681,4.812275520946915
50,-1.670214093686927,3.9731776689691602
51,-7.813429136311797,3.652800650669888
52,-2.4643848570617464,4.609743514225105
53,-2.183664799514268,4.7778951813974055
54,-4.938967840980388,4.264653763675676
55,-1.6386156225471082,4.4483304161946595
56,-2.872983583810722,4.52557861086136
57,-4.594396908485429,5.937201353997127
58,1.8675696723725586,5.083299499287106
59,-1.8270057614785102,5.887625376228211
60,-0.48323409757876196,6.91646550266791
61,-6.77923518074859,6.009018156059035
62,-7.9403448794783555,3.6516310249365436
63,-9.757585317924097,4.935559187629739
64,-7.359751130416922,7.255298890785689
65,-6.3213704951933805,9.749124659029098
66,-3.9226789455600484,5.757391849563852
67,-3.630414649024809,7.214864903908666
68,-7.372067964865794,7.627573414480981
69,-1.3494433520113545,5.564908970666657
70,-6.892162627409464,5.138772795747102
71,-9.95483059807572,6.271563863206318
72,-6.907840086385009,7.770029032493302
73,-5.851791929998693,6.000074271315631
74,-7.7665906616825895,2.263373509987639
75,-4.520720791283437,10.419551783860943
76,-5.035404960184817,3.3848827187318418
77,-6.692979322119727,7.653818108954732
78,-3.49190437049368,6.387701955627855
79,-1.0608340921809154,4.931206602628916
80,-6.09329911830374,8.305386365560745
81,-4.638027453466981,7.968439721438847
82,-5.8325353198704715,5.1552973575381005
83,-4.8478064398730005,6.369857892642989
84,-6.464223670881699,8.763837000293723
85,-6.8876323315548404,8.029369888217486
86,-2.302970103857012,5.879689058256247
87,-3.141409343353301,4.848122807813208
88,-5.332062648482565,6.277796911152376
89,-6.832067046741524,6.433517092803958
90,-7.216256055171977,6.535559536477136
91,-4.858760986529214,5.459504066438884
92,-6.104031600078906,3.5805570238757416
93,-5.071939651919426,4.379466248546243
94,-0.7452600521121397,7.016951936353672
95,0.7085281173452974,6.357110249195417
96,-3.352494474337243,7.315479183844266
97,-4.126375669757552,8.020910616284114
98,-6.536168177524469,6.070041844702988
99,-4.948875519624957,5.147784500236371
100,-5.927597318313327,11.913605617776927
101,-4.728075789605361,3.3279391127434863
102,-7.378880480990048,6.52539948325944
103,-6.319936867417961,6.387217982586635
104,-9.533456223680952,7.63023938294633
105,-7.079840570160532,7.559087365881784
106,-5.00350708941489,7.010308871402751
107,2.193656831007634,6.514748934521451
108,-5.931513057728292,8.71096890461317
109,-9.449606723132122,6.292156120288568
110,-8.755731552200452,7.206445316077784
111,-8.074155067130999,6.524359227566654
112,-10.34130505468951,7.167392621138472
113,-9.504294561928708,6.089536968331445
114,-6.086484283958768,5.85780681865568
115,-4.83511900013003,5.179819001683666
116,-6.119052193454801,8.856823116193205
117,-5.955780177614127,8.750045560230223
118,-1.622198644577626,9.345563170275641
119,-5.910205999491707,9.61529040944098
120,-8.558247040703783,5.310838687723344
121,-6.662341278147064,12.160842020070309
122,-8.348884853045735,7.054290447492101
123,-8.557093556529447,12.346100526218486
124,-8.573470010006407,11.57852447221155
125,-5.727363547430007,13.022710329961928
126,-8.035048800268028,6.088639001814953
127,-5.595369525302381,7.153693135999158
128,-1.3314968350049134,13.215932995209487
129,-4.962951452678764,5.105482202123607
130,-1.8245547983208663,7.140914544054127
131,-0.31182079707365107,12.0446528176064
132,-2.087402630913292,7.043361943125356
133,-4.429149862173992,6.747284464378206
134,-5.237999018618479,6.579735515466566
135,-9.48584907924806,5.316766153609801
136,-6.6804751604378865,6.474927692551358
137,-7.081555828743752,6.1199998916063985
138,-2.9409256221697033,7.066424869554101
139,-2.051410779981888,3.4099334280497953
140,-6.067754385966843,6.64013232840623
141,-9.920141763533806,4.490208624019973
142,-8.342339586456124,5.189424599987912
143,-7.953539171178873,5.305636839140055
144,-6.385134608969991,7.5561555592870695
145,0.22182085879584695,8.835390469698915
146,-7.504795827242328,5.346678870442786
147,-7.330018953363803,6.897287161498611
148,-3.950579807453918,4.490396665258522
149,-8.661237950038366,5.148255057872742
150,-7.110502133387226,7.12131272242968
151,-8.872397828690925,6.413454812982135
152,-11.575459374074953,4.204775431091089
153,-5.797574665206449,3.136706270133527
154,-6.9211989373440845,6.855461088874225
155,-8.978604800103426,7.557875664972244
156,-7.561752393577883,9.067122603344776
157,-9.07661454130976,4.102346627196561
158,-7.6151787015953945,7.45401290349663
159,-9.681694897612111,9.943373039147604
160,-8.51610723090638,8.066500653033785
161,-6.4032428701515,5.607518229643789
162,-7.874228655069874,7.9062146187790265
